SAP 表名,中文表名
VBAK,销售订单抬头表
VBAP,销售订单行表
LIKP,交货单抬头表
LIPS,交货单行表
TVKBT,销售部门配置表
ZSALES_COM,销售组织分类表
VKGRP、TVGRT,销售组描述
KNA1,客户主文件的一般数据
ZSDEMP,深圳洲明显示：雇员部门基础数据
ZZMARA,物料自定义字段数据表
ZSD_ALLOT,业绩分配比例表
TCURR,汇率表
MARA/MAKT,物料名称表
MSEG,物料凭证明细行表
ZSD068VA,订单抛转信息
ZSD124VA,渠道新抛转：销售订单抛转信息
ZTMM005,物料产品主推类型配置表
T005T,国家 / 地区配置表
ZZVBAKAPPR,订单审批记录表
ZSD_SUB,子客销售合同信息
ZSDYJPC,业绩推送订单排除表
ZLAMP_SALES,手工业绩表
ZSDFKFS,销售订单新增付款方式使用
ZPP019M,产品 / 模组类型
ZPP019_H,生产任务单头表
ZTCPLX,推送产品分类
VBFA,销售凭证流
VBUP,销售凭证：项目状态
KONV,条件（事务数据）
VBPA,销售凭证：合作伙伴
PA0002,HR主记录：信息类型0002（人员数据）
TVKBT,机构单位：销售办公室：文本
TVGRT,组织单位：销售组：文本
TVTWT,机构单位：分销渠道：文本
TSPAT,组织单位：销售分部：文本
T148T,特殊库存描述
ZTVGRT,销售组描述
ZSD_CLXX_GJ,国际订单存量信息
ZMATNR_TYPE,型号与物料编码对应关系
TVKOT,机构单位：销售机构：文本
VBKD,销售凭证：业务数据
SETLEAF,组中数据
ZSUBCENTER_TRANS,销售副中心转换
ZPROVINCE_TRANS,销售订单分类
ZSDTYPE_TRANS,销售订单分类
ZSALES_COM,销售组织分类
SETLEAF,组中数据
ZSUBCENTER_TRANS,销售副中心转换
ZPROVINCE_TRANS,销售订单分类
ZSDTYPE_TRANS,销售订单分类
ZSALES_COM,销售组织分类
