测试环境业务系统端口开通,测试环境业务系统端口开通,测试环境业务系统端口开通,测试环境业务系统端口开通,测试环境业务系统端口开通,测试环境业务系统端口开通,测试环境业务系统端口开通
源服务器名称,源服务器IP,目标服务器名称,数据库服务器IP,数据库访问端口,数据库服务器IP,数据库访问端口
test-HDSP1,10.2.8.33,OA正式机,10.1.1.30,1433,,
test-HDSP2,10.2.8.34,OA正式机,10.1.1.30,1433,,
test-HDSP3,10.2.8.35,OA正式机,10.1.1.30,1433,,
test-HDSP1,10.2.8.33,PLM测试机,10.2.8.16,1433,,
test-HDSP2,10.2.8.34,PLM测试机,10.2.8.16,1433,,
test-HDSP3,10.2.8.35,PLM测试机,10.2.8.16,1433,,
test-HDSP1,10.2.8.33,MES测试机,10.2.8.3,1433,,
test-HDSP2,10.2.8.34,MES测试机,10.2.8.3,1433,,
test-HDSP3,10.2.8.35,MES测试机,10.2.8.3,1433,,
test-HDSP1,10.2.8.33,WMS测试机,10.2.8.19,5432,,
test-HDSP2,10.2.8.34,WMS测试机,10.2.8.19,5432,,
test-HDSP3,10.2.8.35,WMS测试机,10.2.8.19,5432,,
test-HDSP1,10.2.8.33,EAM正式机,10.2.1.148,1433,,
test-HDSP2,10.2.8.34,EAM正式机,10.2.1.148,1433,,
test-HDSP3,10.2.8.35,EAM正式机,10.2.1.148,1433,,
test-HDSP1,10.2.8.33,QMS正式机,10.2.1.224,3306,,
test-HDSP2,10.2.8.34,QMS正式机,10.2.1.224,3306,,
test-HDSP3,10.2.8.35,QMS正式机,10.2.1.224,3306,,
test-HDSP1,10.2.8.33,ERP-SAP测试机,10.1.1.39,3301,,
test-HDSP2,10.2.8.34,ERP-SAP测试机,10.1.1.39,3301,,
test-HDSP3,10.2.8.35,ERP-SAP测试机,10.1.1.39,3301,,
test-HDSP1,10.2.8.33,ERP-BPC正式机,10.1.1.189,3300,,
test-HDSP2,10.2.8.34,ERP-BPC正式机,10.1.1.189,3300,,
test-HDSP3,10.2.8.35,ERP-BPC正式机,10.1.1.189,3300,,
test-HDSP1,10.2.8.33,SRM测试机,10.2.8.6,3306,,
test-HDSP2,10.2.8.34,SRM测试机,10.2.8.6,3306,,
test-HDSP3,10.2.8.35,SRM测试机,10.2.8.6,3306,,
test-HDSP1,10.2.8.33,APS测试机,10.2.8.8,1433,,
test-HDSP2,10.2.8.34,APS测试机,10.2.8.8 ,1433,,
test-HDSP3,10.2.8.35,APS测试机,10.2.8.8 ,1433,,
test-HDSP1,10.2.8.33,BI测试机1,10.2.8.5,3306,,
test-HDSP2,10.2.8.34,BI测试机1,10.2.8.5,3306,,
test-HDSP3,10.2.8.35,BI测试机1,10.2.8.5,3306,,
test-HDSP1,10.2.8.33,汇联易正式机,API,"https://opendocs.huilianyi.com/

生产
token：https://console.huilianyi.com/oauth/token?grant_type=client_credentials&scope=write
header:Authorization=Basic ZmY4NDY5M2EtYWNkNC00YmFjLTk2MzItYzFkZTNmZTY1Njg3Ok1HRmxaREUzTjJFdE1HSmpOaTAwWWpVeExXSXlOekl0WVdNM1pqbGtZek5sTmpNeA==",,
test-HDSP2,10.2.8.34,汇联易正式机,API,"https://opendocs.huilianyi.com/

生产
token：https://console.huilianyi.com/oauth/token?grant_type=client_credentials&scope=write
header:Authorization=Basic ZmY4NDY5M2EtYWNkNC00YmFjLTk2MzItYzFkZTNmZTY1Njg3Ok1HRmxaREUzTjJFdE1HSmpOaTAwWWpVeExXSXlOekl0WVdNM1pqbGtZek5sTmpNeA==",,
