源系统,源系统负责人,数据需求,对象类型,"数据库对象编码
（数据库.表、数据库.视图...）",数据库对象名称,字段需求（包含）,计划完成时间,实际完成时间,授权状态,"需求
提出人","入湖
负责人",开发复核负责人,备注,用户数据需求问题,用户数据需求问题反馈,中台ods表名,全量/增量,源系统抽取条件,增量方式,更新频率,任务,同步父任务流,"测试环境数据量
（同时标注时长超过5分钟的）"
"OA
仅对接生产",陈海棠,用户表,表,dbo.View_Hrmresource（说的oaid就是表中的id）,"人员信息
HrmResource-人员信息的表.doc",,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,"饶嘉璇
李朝中",谭程俊,,缺少字段注释、缺少状态字段（即账号是否禁用、是否启用，status是否为状态字段，status字段0、1、4、5、7分别代表什么含义）,"status-状态
0：试用
1：正式
2：临时
3：试用延期
4：解聘
5：离职
6：退休
7：无效
accounttype-帐号类型
Null:主账号,1:次账号
hrmresource(人力资源基本信息表).html",ods_oa_view_hrmresource_df,全量,,,t+1,ods_view_hrmresource_df,ods_oa,1.8万
"OA
仅对接生产",陈海棠,角色表,表,dbo.View_HrmRoles,"角色信息
l HrmRoles.doc",,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,"蔡岸榕
李朝中",谭程俊,之前给的是表，现在变成视图,,,ods_oa_view_hrmroles_df,全量,,,t+1,ods_oa_view_hrmroles_df,ods_oa,1.4万
"OA
仅对接生产",陈海棠,用户角色关联表,表,dbo.View_HrmRoleMembers,"用户角色关联表
HrmRoleMembers.doc",,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,"蔡岸榕
李朝中",谭程俊,之前给的是表，现在变成视图,,,ods_oa_view_hrmrolemembers_df,全量,,,t+1,ods_oa_view_hrmrolemembers_df,ods_oa,0.24万
"OA
仅对接生产",陈海棠,门头/展厅建设申请流程报表,视图,,流程 门头/展厅建设申请单,,,,未开始,陈迎颖,,,,,,,,,,,,,
"OA
仅对接生产",陈海棠,合同评审流程,,,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"OA
仅对接生产",陈海棠,生产任务单,,,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"OA
仅对接生产",陈海棠,显示生产任务变更流程,,,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"OA
仅对接生产",陈海棠,提前备库流程,,,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"OA
仅对接生产",陈海棠,物流类-物流业务流程报表,,,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"OA
仅对接生产",陈海棠,分销/经销、代理、合作协议评审,视图,dbo.View_formtable_main_1590,流程 代理协议/合作协议流转评审单,,,,已授权（生产环境）,陈迎颖,,,,,,,,,,,,,
